Port_type,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
railway,179172254,16354207270,17599851049,21594084125,20245633840,22454067505,25751681540,29071258309,23850387277,23954038714,23616529162
post office,1051495,111301710,106487642,89128573,104653984,102273902,80427813,83451161,47503024,47469343,31538933
Sea port,3422858815,2.33975E+11,2.63452E+11,3.2749E+11,4.12563E+11,4.24707E+11,4.2822E+11,4.13198E+11,3.31953E+11,3.13017E+11,3.20608E+11
Land port,406320783.2,48134729497,57203833808,67905815194,75593336929,80276882158,81329418905,81892822906,65793938725,57916490229,55231145108
Air port,497437628.7,59849647180,66134156089,79084261247,93394644775,1.14163E+11,1.24882E+11,1.37284E+11,1.06616E+11,1.107E+11,1.18263E+11
