The_country_of_destination,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Greece,1883320.00,290130484.11,418768034.97,603043297.99,1258685320.80,2414839997.72,3608683289.52,1895497478.58,1849815469.18,3228011135.00,3181464448.75
United States,574666582.40,51072949108.00,52652444814.34,63055938093.17,77960860679.98,83852550046.01,83057617101.42,87458510162.84,76940855765.08,67013588414.55,64726409287.55
Antarctica,,178631.44,1009000.00,26521.00,412421.00,30516.00,17668.00,21883.00,7225.00,239.00,1621812.00
Antigua and Barbuda,,3462.00,45362.00,108126.00,208349.00,762.00,117646.32,95922.00,1630316.00,718833.00,39203.00
Angola,,172649.00,386445.00,161927.00,,269034.00,1412.00,1976.00,1962017.95,3043023.00,2136577.00
Anguilla,,22363.00,3578.00,,63048.00,21476.00,,3003.00,1757.00,,3260.00
Andorra,,51050.00,66371.50,67689.00,55044.00,2641.00,9167.00,93803.00,74346.62,35268.00,139209.00
Indonesia,37852960.45,3521842989.05,4295723817.90,5517306875.72,7448301789.09,7484306390.03,9204854885.54,9613583440.90,6322912924.97,6307871064.70,6108223731.54
Uzbekistan,50650.00,7246985.55,11989097.22,1340811.34,671237.00,2354212.01,12075939.78,26011074.19,23847198.58,40243015.56,52350535.00
Uganda,,886485.36,1257973.00,1167833.54,2440206.00,3181287.00,3153464.00,5271333.00,4976041.00,9577506.00,15056494.60
Ukraine,7019072.05,2793675082.28,3886074622.92,4300184658.45,9658656766.88,3850122569.59,4703964016.15,3559405518.31,2822348880.72,2583684618.70,3484792257.83
Iran,3417249.74,623060595.44,604728329.69,248851254.98,384593845.87,468561577.40,687497074.65,778740882.13,14239971.63,730621.00,525791.00
Ireland,35467934.00,3068557236.06,3490812493.29,3532193656.80,4309981526.02,4785922579.34,5313438865.31,5527970784.69,4402973562.90,4401931527.39,3879664788.74
Isle of Man,,,,,2822.00,,,,342.00,,10790.00
Iceland,,3739827.10,10728197.81,10972214.13,8110662.76,10922833.66,6439296.61,4505694.44,2609487.31,7935621.26,5815220.67
Italy,179548833.83,13272711239.29,12724165146.19,17326709358.77,17345623237.10,20352986168.75,21964925961.70,19935250472.66,17506253451.66,17436179901.80,16262377156.13
Papua New Guinea,626.00,8695.00,544015.00,1804080.00,74353.00,389634.00,84061.00,110979.00,147454.34,39467.00,122758.00
Pakistan,13079578.92,1274579572.70,1381562060.17,1719649590.83,1673985472.31,2075956057.31,2223422514.09,2030777935.52,1746631108.53,1629539764.87,1512918860.82
Palau,,,26768.00,,,,26613.00,9021.00,,4851.00,12571.00
Paraguay,,124169228.00,147410205.00,248572611.00,1002193.00,43204798.00,7474531.00,11875895.00,16379453.00,161567032.00,87684051.00
Barbados,,262754.00,350680.00,732003.37,467969.87,1395819.00,22494.00,109580.00,75000.00,592925.00,696979.00
Bermuda,,72160239.45,410629.64,438579.00,1355288.00,173801.00,718919.00,7923176.00,298946.81,231447.31,252119.00
Brunei,,327894.00,2024983.00,2862878.28,506678.76,680238.67,472295.05,1983234.27,40162.77,602724.70,915525.00
British Indian Ocean Territory,,887.00,17034.00,8999.00,,356314.00,175945.00,74411.00,7354.00,85804.00,952643.00
Belgium,26454976.39,4130100174.32,3895838109.45,4556870705.79,4826379315.88,4275259494.65,6873591619.55,5743736328.23,3852002252.22,3815135989.88,4379194432.22
Bulgaria,800577.00,135418609.76,344616788.04,805537304.78,671029227.65,753431159.70,671847968.61,667021188.66,418703620.89,472760560.40,353111632.91
Bangladesh,2948892.30,240066660.96,277400824.40,435582144.64,643071396.38,808517991.22,936365949.03,1352095523.55,1387330577.45,1318353850.07,1363865930.78
Panama,,68748721.74,6224702.80,2037754.96,38524790.00,136037990.00,20692551.00,3469749.00,457311.00,391154276.00,788954282.00
Benin,,5867.00,3600.00,18905.00,124010.00,39891.00,1756793.00,2355866.00,6724471.00,55070.00,287938.00
The Bahamas,,237823.00,2380476.00,2295628.00,9570549.68,1125080.00,1348886.00,1472120.00,1559513.00,785078.07,85568603.00
Bhutan,,90375.00,,,,,,7657.00,19108.00,18837.82,365720.00
Botswana,,129078.00,32121.00,1721079.00,371382.29,180361.00,395349.00,997943.99,34589.00,23804.04,66763.00
Puerto Rico,368291.00,96792584.00,35515201.51,27000706.37,54761250.51,43287123.32,75249852.11,147443351.94,175857888.61,155479458.42,96722796.19
Burkina Faso,,,679552.00,272115.50,5958.00,26071.00,192472.00,530.00,92499.00,28069.55,14420.00
Burundi,,,23386.00,,1054603.00,2319152.95,69555.00,,2062595.00,84368.00,330166.00
Poland,8201603.94,1673848771.98,1849743821.04,1712099889.21,2448434096.21,2936914069.49,3960042984.01,3886749532.41,3985253093.96,5282214227.46,5535692354.86
Bolivia,,1308911.06,383242.46,1816342.46,1550347.44,1711928.54,1113119.76,1823931.68,3429039.08,3079701.95,2531539.00
French Polynesia,,203968.00,22362.00,90407.00,109177.00,14165.00,27497.00,5105.00,7570.00,115563.00,34127.00
Pitcairn Islands,,,1213.00,,16049.00,,,,,,
Peru,49395.66,27784255.54,34894857.15,27020716.68,52078198.30,44522047.36,62192243.17,89544304.77,98202157.64,51186408.45,42183229.83
Belarus,6209339.00,19179992.18,13358301.61,13292376.23,9278601.00,152544354.00,201048741.25,10221592.76,13713338.15,20541111.13,35084012.41
Belize,,238892.00,1165982.00,954789.29,1506.00,279826.00,709718.08,124307.00,720296.00,330182.02,347477.00
Thailand,102907087.22,7764201853.51,8763102301.02,10202237682.99,12735170975.87,13520546790.43,13988547198.01,14070107793.34,11234603750.98,9182469320.76,7555575333.79
Taiwan,39668704.64,2579632625.50,3665717661.46,4859488273.98,6646796477.10,6685306358.16,7468763512.97,7307215686.77,5606726419.88,4472568623.02,3896467627.93
Turkmenistan,,1715036.83,447420.79,678926.00,514667.00,360740.00,564341.90,741384.10,1120825.64,207415.00,511561.77
Turkey,21031027.29,6248655962.68,8214354131.25,9132884029.65,13314507765.04,12158643204.35,11020740514.66,12669846467.60,12071994334.63,11328372448.29,10074327789.32
Trinidad and Tobago,,1934558.00,2714736.00,1483979.00,979346.00,1902714.00,2364142.00,1744657.35,1482764.76,1023395.23,1188580.00
Chad,,,67052.00,15859.00,13290.00,162640.00,2666.00,34199.00,868.00,128501.00,2402054.00
Chile,471732.00,408372180.77,867547500.32,1117279733.45,935975838.32,820288228.84,534631213.03,665540053.91,601758017.40,512670551.71,536172833.93
Tanzania,163516.00,21349640.94,40029651.50,85322885.33,52019749.00,57507433.73,50250111.39,43954173.74,58308588.49,33358802.13,25765076.48
Togo,,105984.00,41594.00,915.00,4352.00,184808.00,74627.00,15873.00,156438.17,14962934.11,10347213.00
Tuvalu,,,25064.00,19703.00,17455.00,,1743.00,127.00,44002.00,682.00,76723.00
Tokelau,,,,,318750.00,1436.00,2791.87,164491.94,5214.35,264.00,270135.99
Tonga,,4256.00,49845.00,6950.00,1011.00,540987.00,103697.00,31755.76,147126.00,86123.00,81700.00
Tunisia,238683.00,166701557.65,135650639.55,76719256.64,128387678.34,142559001.94,180503419.96,209053306.26,181081996.95,164394693.02,264930769.85
Timor-Leste,,119171.00,36709.00,1023954.00,833743.00,2700198.00,188482.00,416237.00,82995.00,1140801.00,630568.00
Gabon,,7441483.85,42189928.37,58513124.38,22117140.91,31133063.34,23629433.50,23158184.10,13714219.52,10420917.31,13084780.67
Jamaica,,823867.00,9560143.00,436231.00,2577791.00,16497590.00,805666.20,416488.00,30591596.99,454470.56,316493.00
Gambia,,329649.84,137204.81,3421.00,11669.00,1639138.00,,4129.00,53260.00,1179.00,1344056.00
Gibraltar,,713307.71,981916.62,263219.80,288073.00,1265464.00,377318.00,1834042.15,273356.00,185839.88,857018.09
Grenada,,46634.00,2463.00,113296.00,215524.00,63130.00,,56286.09,68843.00,,961.00
Greenland,,6100.00,84027.00,23499.00,13841.00,926143.00,574718.55,241011.82,459953.00,36549.00,340246.00
Comoros,,932312.46,1603817.73,498414.00,1105442.00,1606696.00,7913784.52,4021324.94,9209029.00,3617803.21,3812104.00
