The_country_of_destination,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Malaysia,35254023.78,3535843080.79,4562154091.02,6247581014.61,5875635542.59,4840579467.93,5260047998.84,4701726120.80,4088875257.56,4824017658.99,4716586130.88
Myanmar,558577.31,39564339.46,57507099.96,93871999.87,164612730.31,161860171.52,164802956.78,189096587.11,181414717.51,196592862.26,142211955.08
Mayotte,,,,,,,,,,10000.00,
Madagascar,1872.00,7276199.83,4025893.73,6870530.43,19558569.74,14843859.55,14262672.54,22095796.82,19665162.98,22916953.13,37718300.12
Egypt,46480996.00,5394257733.45,6109704936.18,7355714208.92,7520129765.35,7970924568.09,8503359954.95,8815299525.18,7927819617.84,7845332919.94,5671370362.71
North Macedonia,,3063984.65,4178093.67,39013057.20,17586109.77,12846240.25,7804273.29,10830214.60,8826770.87,11340017.52,18739885.30
Resident displaced tribes others,,,20191.00,,3925.00,,23029.00,35984.89,,,
Mexico,11220712.77,1448776067.87,1486739288.62,2624977187.46,3797831295.01,6163218660.55,5931252945.60,4395160957.40,3106739772.81,2390217374.44,2843861945.43
Malawi,,1928865.00,2833370.00,3200547.00,3614634.00,5336120.97,3506252.00,1055484.76,1313374.00,1660382.00,5752726.00
Regions of northern France,,1273295.00,1071091.00,2650555.65,12526916.00,840712.00,3520793.00,2077142.00,,2970.00,1226235.00
Mongolia,,2063269.00,1809191.00,1735225.00,12258970.00,2822367.92,2721233.00,5113519.30,17460772.00,5274861.54,3494114.49
Mauritania,31638.00,1092259.15,4321738.00,394038.49,935680.00,14349465.74,12800634.38,25245054.22,7925862.71,1751251.72,10104866.00
Mauritius,14839.00,42991293.34,15396908.50,11383584.30,13633545.38,19909699.73,11714137.53,12875501.59,17692134.41,16722537.46,22631887.68
Mozambique,,70030.97,353399.00,405068.00,36604258.00,55044931.00,172734146.00,49835238.00,18376345.00,2244028.00,4184771.00
Moldova,59937.55,7519920.84,47674203.90,8001679.65,4217896.49,16332949.52,16453191.44,4283622.33,11022349.94,26791522.31,23249808.01
Monaco,,2469189.77,3162546.34,2685069.60,6522946.09,4449754.86,5021470.66,7324127.54,4707997.85,6877610.60,4623416.86
Montserrat,,,,49568.00,117106.00,254016.20,480452.00,,,,29845.00
Federated States of Micronesia,,12625.00,42784.00,25743.00,1731444.00,973941.87,377725.85,3149448.53,493705.00,185732.36,104614.00
Namibia,,4599725.00,16439654.73,32365080.00,5662369.00,4832565.08,21520640.00,10105774.56,9722099.65,15656139.99,21893203.30
Nauru,,40874.00,446652.00,182117.00,144539.00,404885.00,400172.00,180719.85,73273.00,98474.00,290113.00
Niue,,58574.00,12644.00,42432.00,13867.00,192377.00,,20227.00,,27467.00,131432.00
Nepal,201469.00,3496165.91,1167692.48,2062581.80,1779924.09,1025158.00,1578427.51,2781372.87,3116403.47,2661544.20,3716805.14
Netherlands Antilles,,918569.59,4341648.00,2694371.00,1942137.00,4346808.33,723880.00,3098842.00,958776.00,586162.00,2743686.00
Nigeria,28689.00,4288284.00,3484302.00,5569530.00,9414569.00,6418080.39,8934346.92,21765404.07,19353998.38,25673611.00,42024244.00
Nicaragua,,1625119.00,924723.00,2260563.68,2911626.52,2430286.98,4788025.68,2865406.72,4759213.73,1381804.00,2925956.10
New Zealand,10456634.00,1314299939.56,1832065111.12,2264728671.71,2390518615.94,2008236681.70,2680631540.45,1964565263.62,1538683174.31,1779117563.22,1787206286.31
Haiti,,1809938.00,1118525.00,1049826.54,1069610.91,3469300.13,4372466.96,2914155.80,2896889.23,1722372.29,1343530.14
Hungary,8372720.49,1912221569.68,2517955979.27,3852810128.20,2818531239.20,1772257728.77,1418006812.41,1749966381.02,1361535755.92,1116015761.18,1231001487.74
Netherlands,89498465.80,4506387705.78,5008670946.65,5626716315.32,6627251361.49,6814001276.43,7198240130.72,6733405429.38,5728108551.40,5782290512.13,7762609036.45
Holy See,,15888.00,40966.00,,161553.23,17781.00,17236.00,146971.65,3013.35,19372.00,149080.00
Hong Kong,697187.54,149653988.53,263486765.09,277102892.56,225124339.74,217028880.28,152253368.13,160030189.61,88902508.37,199535301.62,357984228.70
Honduras,,3972447.27,4325835.55,7981958.72,13096578.37,12347606.82,18720011.12,19934259.52,12766301.58,18068890.20,7010838.18
Wallis and Futuna,,,,,644747.00,33986.00,,,,,
