Port_type,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
railway,,289581.00,666881.00,863352.00,851202.00,6197011.00,5141216.00,1314713.00,1763892.00,3601105.00,10743839.00
Sea port,477132917.00,63407502982.00,100932821265.00,137452422174.00,205470929508.00,188523330364.00,237750687179.00,139282757054.00,126467105672.00,150014886665.00,194075863400.00
Land port,287908516.00,34740100888.00,36931222696.00,41862566563.00,40263847014.00,37381935690.00,39035691040.00,35427054626.00,33902423588.00,33176942167.00,35705263403.00
Air port,9809395.00,11347963218.00,2245002677.00,2630798441.00,2579042242.00,2435770463.00,3186202684.00,3311067241.00,5118551194.00,4592273119.00,3905707158.00
