The_country_of_destination,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Antarctica,,,,,,,66938.00,,,,
Angola,,15747291.00,24673337.00,50968698.00,69995970.00,48828063.00,53390864.00,70730175.00,102705666.00,105579694.00,119635979.00
Anguilla,,57750.00,1971064.00,464400.00,,238507.00,1300234.00,,2141601.00,64380.00,49629.00
Andorra,,,,,,247092.00,134987.00,,,,504900.00
Indonesia,7705368.00,924423158.00,1188354722.00,1566979091.00,1893142716.00,2283125714.00,2258925011.00,1346547368.00,2162284606.00,2000824284.00,2698484810.00
Uzbekistan,,568785.00,5771058.00,11151516.00,6339287.00,8854866.00,9639647.00,5695236.00,4093930.00,4729580.00,13347297.00
Uganda,,34375985.00,91039532.00,140905794.00,130993494.00,110612398.00,121766040.00,66084480.00,85777019.00,88529003.00,109541062.00
Ukraine,,1965900.00,29273147.00,27422092.00,124264788.00,158651793.00,183565968.00,60306132.00,131725232.00,135118634.00,217542131.00
Iran,11908505.00,679534925.00,837253356.00,1022429835.00,432451060.00,268560918.00,288629921.00,457190144.00,,,
Ireland,208980.00,4398276.00,937911.00,4877001.00,4071514.00,9476764.00,18807210.00,15794523.00,16581495.00,24121197.00,33190593.00
Iceland,,1904617.00,1441375.00,1115960.00,3175014.00,5276342.00,5225700.00,6636476.00,2417574.00,1010520.00,681637.00
Italy,19816455.00,1450584966.00,2639378091.00,3998229905.00,3698391000.00,3975452948.00,22533599809.00,2796023140.00,2430982058.00,2411912473.00,2782189931.00
Papua New Guinea,,,,,324021.00,,258800.00,106724.00,102905.00,58260.00,159638.00
Pakistan,19741350.00,1778749359.00,2698973460.00,3135636139.00,3227517127.00,3549756689.00,4254086059.00,4334954202.00,3377201798.00,4430173866.00,3814931776.00
Palau,,,,,,,,,,30861.00,
Paraguay,,575626.00,919620.00,10244293.00,8357826.00,29793256.00,27792906.00,19403425.00,16671186.00,28584439.00,38676798.00
Barbados,,226648.00,,67119.00,,,311358.00,,,,30334.00
Bermuda,,,,,,,89100.00,,,,
Brunei,,57919756.00,3653511.00,616231.00,6460029.00,5138096.00,4988985.00,5373271.00,5115021.00,5345234.00,1433663.00
British Indian Ocean Territory,,,,,,96560.00,,,,,
Belgium,18603814.00,2467829726.00,4727253737.00,6731025667.00,6980279857.00,7224836537.00,7428659816.00,6046074361.00,5292971910.00,6999587599.00,11934962736.00
Bulgaria,,2147154.00,20491939.00,57933935.00,50670972.00,43937179.00,96846579.00,4570035.00,8080544.00,24910892.00,30618455.00
Bangladesh,345856.00,384096294.00,735716207.00,1067993948.00,1441828543.00,1461708340.00,1608964158.00,1497947604.00,1680497026.00,1933943455.00,2507424752.00
Panama,,92269633.00,24259526.00,320166424.00,3631906.00,1937734.00,454347.00,573001.00,210192.00,519922.00,7961164.00
Benin,,1158446.00,11985917.00,9385867.00,10866941.00,7968274.00,31147953.00,4448727.00,5426895.00,4916151.00,3861964.00
The Bahamas,,,,,210618.00,157484.00,350766.00,,9425799.00,,
Bhutan,,,,,,,223890.00,,,,
Botswana,,176344.00,260070.00,117462.00,231490.00,279123.00,301732.00,63247.00,261251.00,772283.00,
Puerto Rico,,221370.00,414857.00,29101609.00,,752103.00,,,106085.00,,643183.00
Burkina Faso,,1130686.00,3274893.00,6263604.00,13904605.00,12223546.00,10733979.00,3180481.00,4497047.00,7847987.00,4413667.00
Burundi,,1054399.00,1448027.00,1766341.00,,1466650.00,368614.00,2145423.00,1274920.00,400350.00,1670325.00
Poland,2931817.00,190706229.00,581417718.00,1270916627.00,1679791486.00,1577936158.00,1486195569.00,1274292129.00,1407540325.00,1239714399.00,1502051474.00
Bolivia,,,1806967.00,995716.00,225173.00,,66055.00,108339.00,,1711376.00,969276.00
French Polynesia,,37519.00,731859.00,1409915.00,,1433797.00,2115728.00,,,,
Peru,,20991224.00,60908043.00,148906369.00,529229430.00,661335892.00,622770075.00,592367537.00,345301977.00,315179542.00,469304753.00
Belarus,,50399.00,,,347951.00,1010048.00,5795120.00,1134807.00,1534830.00,1589250.00,1050579.00
Belize,,,,,58856.00,,,,,,
Thailand,7464881.00,1824950473.00,2154243019.00,2353244094.00,3468476586.00,2883068861.00,3116924255.00,2652682273.00,2451202695.00,2496790192.00,3202940282.00
Taiwan,1833144.00,2284224660.00,4296326721.00,4623671481.00,6092824970.00,6175372668.00,5636258087.00,3873995373.00,2506141179.00,3284144779.00,3231310323.00
Turkmenistan,,6943667.00,3359168.00,3440042.00,8298324.00,15779440.00,3756225.00,75007854.00,7422499.00,972752.00,153939366.00
Turkey,13368577.00,2088247801.00,4647535497.00,6632113901.00,14640596497.00,7526838802.00,8835025605.00,6910154703.00,6190840509.00,7109818319.00,8716814507.00
Trinidad and Tobago,,311006.00,1256095.00,319976.00,,2604317.00,1307119.00,372211.00,699404.00,283166.00,269389.00
Chad,,573.00,5742052.00,632807.00,1420624.00,2264798.00,1197031.00,3478963.00,1603860.00,1462023.00,1856357.00
Chile,,19681175.00,92178942.00,143748892.00,168728285.00,149319067.00,58965699.00,97468662.00,60525397.00,49514008.00,51019175.00
Tanzania,501645.00,244155962.00,307757766.00,441019483.00,498307052.00,603894885.00,679191692.00,639286719.00,518116195.00,518780758.00,646286512.00
Togo,,17115006.00,60092418.00,66225421.00,50320126.00,116992041.00,180282908.00,163241839.00,124666217.00,168170609.00,161293134.00
Tuvalu,,5591719.00,5296763.00,,,,,,,,
Tokelau,228399.00,139134.00,999551.00,4205793.00,,,,,,,
Tonga,,320011.00,232928.00,537321.00,,,256284.00,23895.00,242160.00,318347.00,
Tunisia,5082049.00,312935429.00,448215077.00,578785678.00,608305645.00,910356363.00,894836244.00,837846193.00,684300587.00,735268797.00,816728303.00
Timor-Leste,,499778.00,,,,,,,,621949.00,
Gabon,,871765.00,3363386.00,6343948.00,9233237.00,5176315.00,9106691.00,5100122.00,3834954.00,4261853.00,11541086.00
Jamaica,,,,67201.00,,247744.00,100650.00,36113.00,305122.00,104814.00,645532.00
Gambia,156667.00,2043272.00,3700823.00,8027149.00,13127562.00,20656198.00,20613199.00,12162711.00,10225647.00,14689627.00,11347884.00
Gibraltar,,,256208.00,,270961777.00,,,,120078195.00,,501599878.00
Grenada,,,,,,185078.00,,245413.00,,,
Greenland,,,,,,,,451978.00,,,
Comoros,,1311038.00,982852.00,1557824.00,1800012.00,1034722.00,3872894.00,1260615.00,2758846.00,3015846.00,3537597.00
Cayman Islands,,,,9843094.00,,,,,,,
South Georgia and the South Sandwich Islands,,,,,1383612.00,,,,,,
Solomon Islands,,,,,,,,,,43750.00,
British Virgin Islands,,,,,87285.00,1119600.00,,,,,
U.S. Virgin Islands,,,,,,235744.00,,,,427500.00,
Cabo Verde,,,180957.00,912868.00,1122937.00,,331442.00,,,339044.00,494783.00
Marshall Islands,,427500.00,,57618067.00,,,1682873.00,3866536.00,9947554.00,5046602.00,2824178.00
Central African Republic,,1568418.00,9803369.00,307357.00,657500.00,,916059.00,85388.00,,989690.00,3912274.00
Dominican Republic,,334125.00,,,1634256.00,4377319.00,13216954.00,22637956.00,25994647.00,27771559.00,50036478.00
South Africa,1718365.00,868232890.00,1291887929.00,1729998169.00,2121652048.00,2012914113.00,2223927896.00,1673331884.00,1194672356.00,1644030820.00,2524306009.00
South Sudan,,,,,,9326832.00,10133773.00,8536246.00,1220755.00,98374.00,2375796.00
Guatemala,519750.00,19457406.00,47880986.00,93998974.00,81549718.00,111454354.00,195830595.00,176160874.00,136867124.00,153973882.00,234959617.00
Guadeloupe,,505171.00,381476.00,326869.00,326402.00,399715.00,711620.00,257600.00,170841.00,123549.00,
Georgia,,231497.00,1090553.00,1417553.00,59505704.00,90673919.00,95376297.00,57703383.00,63216164.00,47449620.00,32267340.00
Djibouti,1327080.00,88001634.00,128379238.00,198696526.00,134674715.00,560602767.00,181777310.00,264605925.00,293465486.00,263830150.00,359116325.00
Dominica,,,16500.00,5735916.00,1032282.00,5155784.00,20034871.00,19987195.00,13414586.00,15732278.00,21479029.00
Rwanda,,3243286.00,883774.00,1777371.00,6415252.00,1946157.00,3218124.00,2749139.00,1317312.00,8783647.00,19749652.00
Russia,,58442067.00,56747002.00,144823033.00,172277074.00,135482993.00,166358992.00,58326493.00,42385340.00,61570073.00,98188511.00
Romania,,10242010.00,7335186.00,9995620.00,77495406.00,37937313.00,48332636.00,27232985.00,41237515.00,49963537.00,38408493.00
Réunion,,1968105.00,113231.00,2531026.00,1901201.00,965530.00,853247.00,1934276.00,1974238.00,826280.00,5237329.00
Zambia,,2870567.00,5585384.00,3003757.00,4679634.00,2683385.00,1682630.00,8324841.00,8545664.00,9326879.00,10697244.00
Zimbabwe,,543275.00,468034.00,2042762.00,74277839.00,1067625.00,491976.00,383714.00,98514.00,2476248.00,2510098.00
Ivory Coast,,42516417.00,114406923.00,162304712.00,94899419.00,179657154.00,251668418.00,259262410.00,256370870.00,318571879.00,406074673.00
Samoa,,,180056.00,124369.00,,342864.00,,916677.00,,,
San Marino,,,,4151.00,,,,,,,
Saint Vincent,,,,,,,1106325.00,,,,49833.00
Saint Lucia,,,,,,,120644.00,,,,
Saint Helena,,,,1434433.00,,,716718.00,,,478721.00,
São Tomé and Príncipe,,,,,214200.00,722614.00,438562.00,310443.00,408986.00,268676.00,76781.00
Sri Lanka,73609.00,157204022.00,278905684.00,285845717.00,277784050.00,243711931.00,316127014.00,272583043.00,276388164.00,256939153.00,359027920.00
Svalbard and Jan Mayen,,,,152955.00,,,,,,,
El Salvador,,62760.00,,986598.00,2892643.00,170143301.00,39194331.00,26416200.00,13881040.00,47925822.00,58881433.00
Slovakia,,1278007.00,2003900.00,7194058.00,598493.00,6695990.00,6141178.00,17324468.00,17257943.00,14869506.00,7891423.00
Slovenia,,252326.00,12755320.00,23638213.00,71772911.00,9950719.00,5000950.00,49193389.00,63904888.00,61493167.00,51336081.00
Singapore,8147451.00,6542896968.00,10672435281.00,13760944903.00,28699053898.00,14707853230.00,15230263713.00,9244149456.00,9975079427.00,12197565275.00,15887409170.00
Eswatini,,,138374.00,374212.00,,2825757.00,171025.00,34416.00,,318895.00,
Syria,19011963.00,2227324290.00,2933389449.00,3340699624.00,1939506397.00,467726964.00,103337758.00,266836232.00,278573158.00,79504924.00,890721.00
Switzerland,,9109485797.00,668643763.00,834210985.00,862063281.00,463306264.00,168853908.00,338093912.00,1113881269.00,1508020192.00,2153014632.00
Sierra Leone,,12633244.00,15983693.00,16876774.00,23638059.00,25101747.00,24998488.00,16169212.00,19876730.00,21619856.00,27195348.00
Suriname,,,,,,,,,,,2730.00
Seychelles,,35846.00,268702.00,364019.00,329968.00,266656.00,625374.00,110824.00,647545.00,379817.00,652172.00
Serbia,,,,,842516.00,1420374.00,2111301.00,1840481.00,2279921.00,1534649.00,508266.00
Serbia and Montenegro,,1150679.00,1274010.00,502867.00,220163.00,,,,,,
Tajikistan,,,857780.00,1290385.00,766083.00,222693.00,140644.00,90116.00,207146.00,286014.00,493006.00
Oman,13935158.00,1979704859.00,2173376437.00,2870196776.00,3890574990.00,5040373138.00,4777308035.00,3694067266.00,2786105685.00,3270384930.00,3307612525.00
Ghana,272736.00,71680558.00,176617146.00,269664215.00,265935957.00,357247993.00,348088770.00,255971856.00,226055390.00,295294048.00,463804808.00
Guyana,,,,113272.00,150233.00,818930.00,42454.00,,,,238250.00
Guinea,,16205498.00,35985599.00,32937560.00,45918437.00,118178194.00,156328319.00,103912907.00,142853561.00,129759462.00,92591442.00
Equatorial Guinea,,171807.00,1006140.00,135391.00,4962159.00,3539565.00,7203212.00,1656249.00,176243.00,4068806.00,7478453.00
French Guiana,,,,,,148485.00,244811.00,231470.00,,88834.00,449317.00
Guinea-Bissau,,1740547.00,4085607.00,7311676.00,4951253.00,6336200.00,9187162.00,38715415.00,6236894.00,13058363.00,8407502.00
France,785516.00,41827190.00,56991777.00,316278291.00,1011109835.00,316066161.00,434668119.00,199150190.00,257080362.00,371985193.00,306490646.00
Palestine,,46799782.00,32281613.00,10087397.00,12508320.00,16309981.00,19736664.00,21006905.00,33472998.00,52714562.00,63295173.00
Venezuela,,65399775.00,2800500.00,5001793.00,4864435.00,4213836.00,10043658.00,73778745.00,50167.00,185818.00,65616.00
Finland,392975.00,7240415.00,10308997.00,13019416.00,13318009.00,23143632.00,41481139.00,42884142.00,19997215.00,45864782.00,41878071.00
Vanuatu,,,,,,,,,217500.00,,
Vietnam,3495094.00,961823803.00,1256441156.00,1843233972.00,1897520129.00,2451913881.00,3207422954.00,2673686400.00,2313218623.00,3037022086.00,2971862538.00
Fiji,,384049.00,502760.00,57544.00,104270.00,363427.00,469137.00,619756.00,,,116495.00
Cyprus,,30214624.00,54870170.00,28796806.00,25730552.00,24135835.00,28307755.00,22581485.00,24213341.00,26154319.00,28446736.00
Qatar,49220570.00,4842594643.00,4529629909.00,4472941395.00,4456303210.00,4555927811.00,5311006471.00,5133037892.00,4990901440.00,2104610644.00,182300.00
Kyrgyzstan,,401476.00,255047.00,,1204686.00,1079.00,334316.00,1005317.00,1069262.00,222948.00,238762.00
Kazakhstan,,500342.00,4449278.00,4526227.00,20703524.00,26101953.00,6033958.00,25777961.00,14267873.00,2432033.00,23576950.00
New Caledonia,,,,,,,,,,,81855.00
Cambodia,,291638.00,440955.00,110447.00,12603314.00,1352501.00,3034330.00,4289904.00,7114562.00,38058682.00,25029420.00
Croatia,,3592581.00,2324.00,2882424.00,2721646.00,16643305.00,13016678.00,6834790.00,11129739.00,7813452.00,12990184.00
Canada,,9149185.00,43492463.00,17358363.00,27840409.00,23205844.00,34930842.00,61808137.00,171149649.00,237221836.00,527348969.00
Cuba,,3013917.00,5877191.00,5973277.00,12940529.00,5148936.00,930659.00,5383082.00,1382743.00,3525307.00,15236852.00
Curaçao,,,,,,,46950.00,1911673.00,279394.00,60428.00,23475.00
South Korea,12441783.00,2712350300.00,4425297858.00,5856200516.00,19937691075.00,6889562251.00,20796170757.00,3800066859.00,2504034826.00,3426918497.00,4751602683.00
North Korea,,7267057.00,3933541.00,257544026.00,42650504.00,4514556.00,51190815.00,16513770.00,108923485.00,19738.00,442150.00
Costa Rica,,10795958.00,35115181.00,53438054.00,16685036.00,26266482.00,32158167.00,11200559.00,14269722.00,11507567.00,26499770.00
Colombia,519750.00,22459810.00,58547701.00,124272843.00,173265019.00,225122998.00,190033874.00,160871012.00,116610090.00,126941433.00,160117676.00
Democratic Republic of the Congo,,3632762.00,4582848.00,10459509.00,18259896.00,15651385.00,13205714.00,6607295.00,5311893.00,17763399.00,23662324.00
Republic of the Congo,,11915037.00,31278189.00,47146300.00,76612035.00,58412681.00,126342301.00,102803103.00,84225324.00,83134649.00,110118051.00
Kiribati,,,42150.00,,,,,103490.00,,,
Kenya,1518563.00,465586068.00,609897238.00,921334075.00,1167324919.00,1270201705.00,1664298268.00,1112348876.00,1011296498.00,1197029662.00,1585694591.00
Latvia,,111649.00,305121.00,7004469.00,6973439.00,16690823.00,5200718.00,1537957.00,783668.00,683786.00,213490.00
Laos,,19144714.00,,,87741.00,,,,,,41496.00
Lebanon,7268412.00,1019298493.00,1371369981.00,1401708984.00,1430321304.00,1403426094.00,1521552463.00,1264143704.00,1281390244.00,1426184943.00,1764516779.00
Lithuania,,1411072.00,3809398.00,19697630.00,20107438.00,6041047.00,9735496.00,6336320.00,8660242.00,16589963.00,8967197.00
Luxembourg,,,121483.00,923190.00,2478306.00,2817843.00,534018.00,2277572.00,2499.00,7127552.00,6199778.00
Liberia,52890.00,5113472.00,4137436.00,591314371.00,17174848.00,27466665.00,24148851.00,51487943.00,30320935.00,33138136.00,34739170.00
